id,residuos_negativos,ztest_spatial_low,quantile,lisa_LH,n_votes
18875567.0,1,0,1,0,2
18875568.0,1,0,1,0,2
18684450.0,1,0,1,0,2
18684449.0,1,0,1,0,2
18875565.0,1,0,1,0,2
14334120.0,1,0,1,0,2
18684454.0,1,0,1,0,2
18435875.0,1,0,1,0,2
12957236.0,1,0,1,0,2
18996154.0,1,0,1,0,2
16187441.0,1,0,1,0,2
18996225.0,1,0,1,0,2
12957252.0,1,0,1,0,2
18513585.0,1,0,1,0,2
18513586.0,1,0,1,0,2
18551541.0,1,0,1,0,2
17678835.0,1,1,1,0,3
16162003.0,1,0,1,0,2
16919431.0,1,0,1,0,2
18996682.0,1,0,1,0,2
18684453.0,1,0,1,0,2
18996003.0,1,0,1,0,2
18223418.0,1,0,1,0,2
17707914.0,1,1,1,0,3
17678854.0,1,1,1,0,3
18516220.0,1,0,1,1,3
18667316.0,1,0,1,0,2
17678905.0,1,0,1,0,2
17844552.0,1,0,1,1,3
18927860.0,1,0,1,0,2
18927867.0,1,0,1,0,2
17939641.0,1,0,1,1,3
16676893.0,1,1,1,1,4
17392528.0,1,0,1,0,2
17707891.0,1,0,1,0,2
18289222.0,1,0,1,0,2
16919440.0,1,0,1,0,2
17698217.0,1,0,1,0,2
18837289.0,1,0,1,1,3
18880760.0,1,0,1,0,2
18880758.0,1,0,1,0,2
18880751.0,1,0,1,0,2
18454774.0,1,1,1,0,3
15244522.0,1,0,1,0,2
18996124.0,1,0,1,0,2
18980067.0,1,0,1,0,2
17844553.0,1,0,1,1,3
17828788.0,1,0,1,0,2
16430163.0,1,0,1,1,3
18407642.0,1,0,1,0,2
18622708.0,1,0,1,0,2
18910638.0,1,0,1,0,2
18916848.0,1,0,1,0,2
18335526.0,1,0,1,0,2
18454776.0,1,1,1,0,3
18979774.0,1,0,1,0,2
17548775.0,1,0,1,0,2
16407764.0,1,0,1,0,2
18454709.0,1,0,1,0,2
18874914.0,1,0,1,0,2
18651523.0,1,0,1,0,2
18667796.0,1,0,1,0,2
15350318.0,1,0,1,0,2
15350317.0,1,0,1,0,2
18819468.0,1,1,1,1,4
18819293.0,1,1,1,1,4
16661386.0,1,0,1,0,2
14342270.0,1,0,1,1,3
18717711.0,1,1,1,0,3
18717713.0,1,1,1,0,3
18717714.0,1,1,1,0,3
18717715.0,1,1,1,0,3
18367430.0,1,1,1,1,4
18764567.0,1,0,1,0,2
17678892.0,1,0,1,0,2
18896414.0,1,0,1,0,2
16717537.0,1,0,1,0,2
17330231.0,1,0,1,0,2
17330233.0,1,0,1,0,2
