id,url,precio,expensas,area_m2,dormitorios,antiguedad,puntaje_arg_prop,imagen_path,image_url,lat,lon
18938228,https://www.argenprop.com/departamento-en-alquiler-en-puerto-madero-2-ambientes--18938228,"('usd', 1450.0)",370000.0,45.0,1 dorm.,7.0,0,images/18938228.jpg,https://www.argenprop.com/static-content/82283981/9b96b52b-6868-4013-8bcb-1a163bb014bb_u_small.jpg,-34.61645,-58.36724
18938223,https://www.argenprop.com/departamento-en-alquiler-en-puerto-madero-2-ambientes--18938223,"('usd', 1450.0)",370000.0,45.0,1 dorm.,7.0,0,images/18938223.jpg,https://www.argenprop.com/static-content/32283981/000e2d2a-2d69-4f96-aca2-21cf7c7229de_u_small.jpg,-34.61645,-58.36724
18938154,https://www.argenprop.com/departamento-en-alquiler-en-villa-pueyrredon-2-ambientes--18938154,"('$', 720000.0)",105000.0,45.0,1 dorm.,9.0,0,images/18938154.jpg,https://www.argenprop.com/static-content/45183981/d38439fa-e219-4174-ac8b-3eef859861b2_u_small.jpg,-34.58631,-58.49978
18938142,https://www.argenprop.com/departamento-en-alquiler-en-villa-crespo-1-ambiente--18938142,"('$', 470000.0)",170000.0,31.0,1 dorm.,21.0,0,images/18938142.jpg,https://www.argenprop.com/static-content/24183981/4a9b80e2-9f6b-4f00-b85f-388f7e6b5757_u_small.jpg,-34.59954,-58.43058
18904459,https://www.argenprop.com/departamento-en-alquiler-en-flores-2-ambientes--18904459,"('$', 700000.0)",140000.0,35.91,1 dorm.,41.0,0,images/18904459.jpg,https://www.argenprop.com/static-content/95440981/de3bda45-d7e3-4b98-bda9-09af6e238c94_u_small.jpg,-34.62986,-58.47018
18583493,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-2-ambientes--18583493,"('usd', 1350.0)",350000.0,45.0,1 dorm.,8.0,0,images/18583493.jpg,https://www.argenprop.com/static-content/39438581/45fc8b9d-0dae-4d25-a64c-9174a08e1dc9_u_small.jpg,-34.589615,-58.405792
18899209,https://www.argenprop.com/departamento-en-alquiler-en-villa-urquiza-2-ambientes--18899209,"('$', 950000.0)",160000.0,42.0,1 dorm.,10.0,0,images/18899209.jpg,https://www.argenprop.com/static-content/90299881/eac04875-6a05-40db-a541-68c1902b1ecf_u_small.jpg,-34.571686,-58.487427
18952751,https://www.argenprop.com/departamento-en-alquiler-en-nunez-2-ambientes--18952751,"('$', 780000.0)",190000.0,35.0,1 dorm.,10.0,200,images/18952751.jpg,https://www.argenprop.com/static-content/15725981/e538b166-e1ec-4040-923b-6b47ad51524e_u_small.jpg,-34.55084,-58.46859
18952833,https://www.argenprop.com/departamento-en-alquiler-en-caballito-2-ambientes--18952833,"('$', 650000.0)",152000.0,46.0,1 dorm.,10.0,0,images/18952833.jpg,https://www.argenprop.com/static-content/33825981/fa2872a5-ac1c-4e9b-a45f-b55b4182f0fd_u_small.jpg,-34.61143,-58.45329
18950099,https://www.argenprop.com/departamento-en-alquiler-en-san-cristobal--18950099,"('usd', 400000.0)",77000.0,30.0,,,1,images/18950099.jpg,https://www.argenprop.com/static-content/99005981/e717512d-3d28-4857-b731-10ad4ddf7f86_u_small.jpg,-34.62017,-58.40917
18952856,https://www.argenprop.com/departamento-en-alquiler-en-caballito-3-ambientes--18952856,"('$', 1150000.0)",245000.0,67.0,2 dorm.,18.0,3,images/18952856.jpg,https://www.argenprop.com/static-content/65825981/966057da-deee-40ac-83d0-d8a5eb0593e2_u_small.jpg,-34.62345,-58.42908
