id,url,precio,expensas,area_m2,dormitorios,antiguedad,tipo_inmueble,puntaje_arg_prop,imagen_path,image_url,lat,lon
8348621,https://www.argenprop.com/departamento-en-venta-en-liniers-4-ambientes--8348621,"('usd', 110000.0)",5800.0,,3 dorm.,2.0,departamento,2,images/8348621.jpg,https://proxy.sosiva451.com/proxy/6820ACA092A4BFDDACC91ACB805751AAF7C260C36B4F9412362FF01C2E227459EAB74E7A402C831566F17F71B1F0D76B59A4A9903E36BAC98DE893A59C2A97817D5A20BEF90A1C2F34C5F642651338E8B803BC4C30B432248F1076CC0673EF8D,-34.64033,-58.52811
16415669,https://www.argenprop.com/departamento-en-venta-en-congreso-2-ambientes--16415669,"('usd', 69000.0)",100000.0,35.0,1 dorm.,,departamento,0,images/16415669.jpg,https://proxy.sosiva451.com/proxy/1C999C7C5ECC74EC1698CA2034207C92B23BF5F6ADDC7923CFD0124B5AB86C0840AF96938CECB941C974F07FE3308B342F3316CD61AB45A80E3C7E6BEC76CF0DE860951858BB6C37A05A0D6586CB5ACF01EDB0A339AE4969AA24717692F4E0FC,-34.61524,-58.39916
17836181,https://www.argenprop.com/departamento-en-venta-en-monserrat-2-ambientes--17836181,"('usd', 65000.0)",160000.0,46.0,1 dorm.,,departamento,0,images/17836181.jpg,https://proxy.sosiva451.com/proxy/380B961634E4F2B3DF31308024CA533A943DBA50FCDF7277774484DEB41D3C5E5448EE625B5900C77146C7C35FE2D009ABF536A516BFEFE57B0E922C15607C052AA1353ACDC30B95EF85C788A9B577543E9A9F6C8DC67809CA2B95C0E1799E93,-34.61036,-58.37335
18916848,https://www.argenprop.com/departamento-en-venta-en-villa-luro-3-ambientes--18916848,"('usd', 165000.0)",0.0,50.0,2 dorm.,0.0,departamento,1,images/18916848.jpg,https://proxy.sosiva451.com/proxy/14B63EA7BA4DEABB495F13891292EEDB72CF72C7099E02EC0ED4EDD3D4B3E6C30BCAB2B386CC23100CBA790C20CB571E3C68F57FF19B90F178A4BF2564018B3B2A0AC2A27CD531D346EB49872CC191A41DCCC7A7BE309FD2C8449AA32EB1C3A1,-34.64016,-58.50946
17475959,https://www.argenprop.com/departamento-en-venta-en-balvanera-4-ambientes--17475959,"('usd', 130000.0)",99000.0,64.0,3 dorm.,50.0,departamento,21,images/17475959.jpg,https://proxy.sosiva451.com/proxy/1EEDEE3C5CC22900357C3018B5C194F5A24882824B844CE7339EA7A732F9778629BA1A1C0237AF3280998C9D5F1F0F3F86E5C3906CCB3D7EEA950D98E7342D335B41014F3A7C44CD00B7B8F4C9F3C253D024B03B1853A1BA0B26BB3788E9A53A,-34.60233,-58.40082
15149661,https://www.argenprop.com/departamento-en-venta-en-congreso-3-ambientes--15149661,"('usd', 75000.0)",22000.0,50.0,2 dorm.,80.0,departamento,0,images/15149661.jpg,https://proxy.sosiva451.com/proxy/E7CD60ED289A4EF854FCE35C0CA0AE2D5E11D178562480E50789EB85B9FA55DDC0E11C3BBCAAB6B386B060AB3DDF0355DF11EF7AFE62FBCCD5C2610E09E63A1F1C47148446B3A5903367854B0770866945263B05CF1244B7987D3404DEADE0AF,-34.61746,-58.39787
18401601,https://www.argenprop.com/departamento-en-venta-en-almagro-3-ambientes--18401601,"('usd', 69000.0)",190000.0,64.0,2 dorm.,70.0,departamento,0,images/18401601.jpg,https://proxy.sosiva451.com/proxy/FB1A62E11D8708B4BA2C295F375F65D5AD4F634DAF60F22C80F647CCF7EB68B7782D730261CA4A9FFF9F1B512E74BB9B413EDF80E080245C5A2CC4C9BD4E0216AB6A94E91E63DB4BA229717DA236CCA14EE7B350D8C3F9038CD4106EF8938D70,-34.61059,-58.40873
18401656,https://www.argenprop.com/departamento-en-venta-en-monserrat-3-ambientes--18401656,"('usd', 69000.0)",190000.0,64.0,2 dorm.,70.0,departamento,0,images/18401656.jpg,https://proxy.sosiva451.com/proxy/FE3E88996FF9985AF11F25B860F2BB4284A16AAD28CF43062B09DED0A9E680815A43569256A354F4870EC947E0191469F60453EBDCADA36DF3E9A584D710F0AD488AC827F2839BDB87DE00C291EC0BEAD3BCF4D1D166438F425ABA409BE0E59D,-34.61059,-58.40873
18548651,https://www.argenprop.com/departamento-en-venta-en-villa-santa-rita-3-ambientes--18548651,"('usd', 125000.0)",0.0,58.0,2 dorm.,0.0,departamento,5,images/18548651.jpg,https://proxy.sosiva451.com/proxy/A9E378906ED27B28120024031E8B024D8B16FCCD647AD4ED87C1FD8BEC8AC3193056F73FF1EA0DA60C130901F3538CDC98288C7221A0622049B872784C6E434BC856F4412D0F3D7D4BDDCE4D99DF9EFB8EA351E9F19E65A5C6BA687BF66D2CB4,-34.61046,-58.48024
18267748,https://www.argenprop.com/ph-en-venta-en-liniers-3-ambientes--18267748,"('usd', 120000.0)",0.0,55.0,2 dorm.,35.0,ph,1,images/18267748.jpg,https://proxy.sosiva451.com/proxy/576664D2AAA9810D0E71510C480E2F264190EEECAEC5531868F830E1582AFB134588CC84B2DDF34B289E95B1742D201E4E0F5FEE12AD48E52BFC66521EF62E3BC0FC92AFF5D0B804BF14943BFC7117E745C4CD488FF0C9E448EC06C26A18BC14,-34.64301,-58.52725
