idx,id,url,precio,moneda,expensas,tipo_unidad,area_m2_cubierta,area_m2_descubierta,area_m2_total,antiguedad,estado_edificio,ambientes,banos,estado,disposicion,orientacion,latitud,longitud,image_url,imagen_path,valido_desde,valido_hasta,cocheras
1,17172615.0,https://www.argenprop.com/departamento-en-venta-en-palermo-5-ambientes--17172615,1190000.0,USD,610000.0,,,,,35.0,,5.0,3.0,,Frente,NE,-34.58601,-58.40774,https://www.argenprop.com/static-content/51627171/63c74ca9-7201-4771-a31a-376001457c4c_u_small.jpg,images/17172615.jpg,,,b''
2,17821648.0,https://www.argenprop.com/departamento-en-venta-en-belgrano-3-ambientes--17821648,,ARS,305000.0,,79.0,,79.0,12.0,,3.0,,,Frente,,-34.559948,-58.455765,https://www.argenprop.com/static-content/84612871/d6ea9721-96aa-422d-a686-f8b41f8ed463_u_small.jpg,images/17821648.jpg,,,b''
3,18875423.0,https://www.argenprop.com/departamento-en-venta-en-villa-crespo-2-ambientes--18875423,70000.0,USD,113400.0,,34.0,,34.0,51.0,,2.0,1.0,Muy Bueno,Lateral,,-34.59357,-58.44511,https://www.argenprop.com/static-content/32457881/bd4098a7-a158-49e6-b529-a225c133b2b1_u_small.jpg,images/18875423.jpg,,,b''
4,18875422.0,https://www.argenprop.com/departamento-en-venta-en-villa-del-parque-3-ambientes--18875422,,,,,,,,,,,,,,,,,https://www.argenprop.com/static-content/22457881/21dcd557-7314-48c3-8110-ae96ed94be09_u_small.jpg,images/18875422.jpg,,,b''
5,18247052.0,https://www.argenprop.com/departamento-en-venta-en-villa-urquiza-1-ambiente--18247052,,,,,,,,,,,,,,,,,https://www.argenprop.com/static-content/25074281/146362a4-1192-483e-af8e-279ba2a6cb0e_u_small.jpg,images/18247052.jpg,,,b''
6,16013528.0,https://www.argenprop.com/ph-en-venta-en-floresta-4-ambientes--16013528,160000.0,USD,,,105.0,85.0,190.0,55.0,,4.0,,Regular,,,-34.63423,-58.48689,https://www.argenprop.com/static-content/82531061/060dde80-60e0-46f7-9db5-90401a365e2f_u_small.jpg,images/16013528.jpg,,,b''
7,17626059.0,https://www.argenprop.com/departamento-en-venta-en-palermo-4-ambientes--17626059,1450000.0,USD,,,196.0,15.0,211.0,,,4.0,3.0,,Lateral,E,-34.582844,-58.428406,https://www.argenprop.com/static-content/95062671/53aefce1-0cf4-4982-a6f5-d2a66600eb58_u_small.jpg,images/17626059.jpg,,,b''
8,18875459.0,https://www.argenprop.com/departamento-en-venta-en-nunez-3-ambientes--18875459,130000.0,USD,180000.0,,47.0,,47.0,46.0,,3.0,1.0,,Contrafrente,NE,-34.544342,-58.464504,https://www.argenprop.com/static-content/95457881/fe6ffd66-7b07-4d28-9c16-a1cbdb6453f8_u_small.jpg,images/18875459.jpg,,,b''
9,18853404.0,https://www.argenprop.com/casa-en-venta-en-palermo-soho--18853404,135000.0,USD,,Casa,200.0,,200.0,,,,2.0,,,,-34.59,-58.434,https://www.argenprop.com/static-content/40435881/9a888c6e-3306-4c7b-af3e-c9b6caf38547_u_small.jpg,images/18853404.jpg,,,b''
10,18875458.0,https://www.argenprop.com/departamento-en-venta-en-villa-del-parque-4-ambientes--18875458,284000.0,USD,,Duplex,123.0,49.0,196.0,2.0,,4.0,2.0,Excelente,Frente,,-34.61034,-58.49715,https://www.argenprop.com/static-content/85457881/20f6dab6-a5ac-4c3b-b10c-f7d2bc5689d3_u_small.jpg,images/18875458.jpg,,,b''
11,18537921.0,https://www.argenprop.com/departamento-en-venta-en-belgrano-c-2-ambientes--18537921,190000.0,USD,,,49.0,,56.0,16.0,,2.0,1.0,,,,-34.555,-58.457,https://www.argenprop.com/static-content/12973581/7e82e2c1-cf69-4970-8cd0-5239e25cb45c_u_small.jpg,images/18537921.jpg,,,b''
12,18875283.0,https://www.argenprop.com/departamento-en-venta-en-palermo-3-ambientes--18875283,320000.0,USD,,,69.0,4.0,73.0,16.0,,3.0,2.0,,Frente,SO,-34.5767,-58.43031,https://www.argenprop.com/static-content/38257881/7c7b923b-41fe-40a3-aad8-2d050b653e99_u_small.jpg,images/18875283.jpg,,,b''
13,18172428.0,https://www.argenprop.com/departamento-en-venta-en-caballito-4-ambientes--18172428,125000.0,USD,230000.0,,84.0,,84.0,44.0,,4.0,1.0,Bueno,,,-34.61421,-58.43436,https://www.argenprop.com/static-content/82427181/804ba2b4-df2a-4a4e-a3c1-189d6611ee1f_u_small.jpg,images/18172428.jpg,,,b''
14,18421146.0,https://www.argenprop.com/departamento-en-venta-en-recoleta-1-ambiente--18421146,,,,,,,,,,,,,,,,,https://www.argenprop.com/static-content/64112481/d9db12db-0242-44ab-a0fb-c26cc34d9c0e_u_small.jpg,images/18421146.jpg,,,b''
15,8369836.0,https://www.argenprop.com/departamento-en-venta-en-caballito-1-ambiente--8369836,69500.0,USD,105000.0,Departamento,45.0,,45.0,,,1.0,1.0,Muy Bueno,,,-34.60627,-58.45169,https://www.argenprop.com/static-content/6389638/bc05bc0c-8abb-430b-bfbc-502280e59c97_u_small.jpg,images/8369836.jpg,,,b''
16,15860074.0,https://www.argenprop.com/departamento-en-venta-en-flores-3-ambientes--15860074,84900.0,USD,110000.0,Departamento,63.0,,63.0,,,3.0,,Excelente,Contrafrente,NO,-34.63223,-58.46879,https://www.argenprop.com/static-content/47006851/735d4cca-d5b6-42be-b989-38ba794bfbf9_u_small.jpg,images/15860074.jpg,,,b''
17,18342065.0,https://www.argenprop.com/departamento-en-venta-en-floresta-3-ambientes--18342065,120000.0,USD,258000.0,Departamento,45.0,,45.0,,,3.0,1.0,,,,-34.62398,-58.49293,https://www.argenprop.com/static-content/56024381/8619f1d5-2cba-47d0-86d1-c3dba0be1be4_u_small.jpg,images/18342065.jpg,,,b''
18,18770885.0,https://www.argenprop.com/departamento-en-venta-en-flores-2-ambientes--18770885,58000.0,USD,142000.0,Departamento,36.0,,36.0,,,2.0,1.0,,,,-34.62986,-58.47018,https://www.argenprop.com/static-content/58807781/dbb76ea7-a4a1-46f2-bf7e-708ad597aac0_u_small.jpg,images/18770885.jpg,,,b''
19,18700832.0,https://www.argenprop.com/departamento-en-venta-en-villa-del-parque-3-ambientes--18700832,,,,,,,,,,,,,,,,,https://www.argenprop.com/static-content/23800781/95d71a51-07c0-46f3-a0e7-e7011562e32e_u_small.jpg,images/18700832.jpg,,,b''
20,8369805.0,https://www.argenprop.com/departamento-en-venta-en-flores-2-ambientes--8369805,,,,,,,,,,,,,,,,,https://www.argenprop.com/static-content/5089638/b7fd508b-1edb-4aee-96fa-e22e812590c3_u_small.jpg,images/8369805.jpg,,,b''
21,18858341.0,https://www.argenprop.com/departamento-en-venta-en-villa-devoto-2-ambientes--18858341,85000.0,USD,120000.0,Departamento,39.0,11.0,48.0,46.0,,2.0,1.0,Regular,Frente,,-34.60189,-58.51319,https://www.argenprop.com/static-content/14385881/165b4977-cb10-4339-a588-f5dcabb6f957_u_small.jpg,images/18858341.jpg,,,b''
22,18875428.0,https://www.argenprop.com/casa-en-venta-en-villa-devoto-6-ambientes--18875428,,,,,,,,,,,,,,,,,https://www.argenprop.com/static-content/82457881/cbd29dcb-92b1-4e91-bb4f-d1cae1c469bb_u_small.jpg,images/18875428.jpg,,,b''
23,18875427.0,https://www.argenprop.com/ph-en-venta-en-villa-real-5-ambientes--18875427,,,,,,,,,,,,,,,,,https://www.argenprop.com/static-content/72457881/42796214-e6ff-4f8f-ba32-35801e22fb14_u_small.jpg,images/18875427.jpg,,,b''
24,18651689.0,https://www.argenprop.com/departamento-en-venta-en-palermo-2-ambientes--18651689,80000.0,USD,100000.0,,,,,,,2.0,1.0,,,,-34.58936,-58.4191,https://proxy.sosiva451.com/proxy/20E6CA6FA06FFBC975EEBAB1099842F342C85E551D4B8C0913099617AC2200CAB5366D3D386A4D740A9CFF6FFF200497425FDE965BAE0C46A3DBEB7CA3EDF20BBF52D114D8AA7C28BBB6696AE143277227CA19ED7C174E176ED7949A4DD3FF94DB3411EC6F813660CA08E5B110CF814BDD854D5E5990966C4BA6BC8F3CFA3FEBE6EDD5B9C1C232091F4E00759BE7EEEE3B1A0A6B6306EF5C1C937C56F4C44418,images/18651689.jpg,,,b''
25,18794043.0,https://www.argenprop.com/departamento-en-venta-en-almagro-1-ambiente--18794043,75000.0,USD,110000.0,,32.0,2.0,34.0,14.0,,1.0,1.0,Muy Bueno,Contrafrente,S,-34.62025,-58.41637,https://proxy.sosiva451.com/proxy/073C33B83AA9DE383840EF27DD2B2292B3A87388CF358DD6547B20DEEA51A99B1D461FF2353499E8646E1DCD7A7DCC4986218AAA40069ACFE2754E2C6C06336086B7CE14AD0E859929175C28C857B35A21E9E5AA986E2F69BF4D8704FC6EF7FD,images/18794043.jpg,,,b''
26,18378367.0,https://www.argenprop.com/departamento-en-venta-en-recoleta-1-ambiente--18378367,110000.0,USD,115000.0,,33.0,,33.0,50.0,,1.0,2.0,,Interno,,-34.591293,-58.39035,https://www.argenprop.com/static-content/76387381/5b0d8248-d3ad-4553-88bb-9f0a09e46c17_u_small.jpg,images/18378367.jpg,,,b''
27,18875522.0,https://www.argenprop.com/departamento-en-venta-en-villa-pueyrredon-2-ambientes--18875522,57000.0,USD,50000.0,Departamento,35.0,,35.0,,,2.0,,Bueno,,,-34.58065,-58.4986,/content/images/listing-camera.svg,,,,b''
28,18856746.0,https://www.argenprop.com/departamento-en-venta-en-barrio-norte-1-ambiente--18856746,68900.0,USD,65000.0,Departamento,24.0,4.0,28.0,40.0,,1.0,1.0,Excelente,Frente,,-34.60095,-58.39721,https://www.argenprop.com/static-content/64765881/0f0e7a4d-f5b1-4d27-a6df-fb2295c594eb_u_small.jpg,images/18856746.jpg,,,b''
29,18875504.0,https://www.argenprop.com/departamento-en-venta-en-palermo-4-ambientes--18875504,189000.0,USD,250000.0,,71.0,15.0,86.0,35.0,,4.0,1.0,,Frente,NO,-34.57987,-58.424797,https://www.argenprop.com/static-content/40557881/6111d9c5-3991-476c-9d7c-3b469b70fdb6_u_small.jpg,images/18875504.jpg,,,b''
30,18549298.0,https://www.argenprop.com/departamento-en-venta-en-palermo-soho-1-ambiente--18549298,115000.0,USD,,,27.0,13.0,40.0,,,1.0,1.0,,,,-34.583233,-58.42564,https://www.argenprop.com/static-content/89294581/0967af07-814a-4f43-9014-b777594fc47f_u_small.jpg,images/18549298.jpg,,,b''
31,18549295.0,https://www.argenprop.com/departamento-en-venta-en-palermo-soho-1-ambiente--18549295,99000.0,USD,,,27.0,,27.0,,,1.0,,,,,-34.583233,-58.42564,https://www.argenprop.com/static-content/59294581/88f7d493-9f8a-418a-9d62-9a6c738bca40_u_small.jpg,images/18549295.jpg,,,b''
32,16424764.0,https://www.argenprop.com/casa-en-venta-en-flores-norte-4-ambientes--16424764,,ARS,,Casa,,,,60.0,,4.0,2.0,Bueno,,SO,-34.627975,-58.48287,https://www.argenprop.com/static-content/46742461/2c03c340-7962-497a-8ffd-7aa0e2a963a2_u_small.jpg,images/16424764.jpg,,,b''
33,18875450.0,https://www.argenprop.com/departamento-en-venta-en-villa-del-parque-3-ambientes--18875450,,,,,,,,,,,,,,,,,https://www.argenprop.com/static-content/05457881/7e49d842-a0e8-4d1c-aaa4-53d75c3f6e55_u_small.jpg,images/18875450.jpg,,,b''
34,18549296.0,https://www.argenprop.com/departamento-en-venta-en-palermo-soho-2-ambientes--18549296,130000.0,USD,,,30.0,12.0,42.0,,,2.0,1.0,,,,-34.583233,-58.42564,https://www.argenprop.com/static-content/69294581/03331e02-a989-4b5f-95da-2c87d9446bfa_u_small.jpg,images/18549296.jpg,,,b''
35,18699539.0,https://www.argenprop.com/departamento-en-venta-en-saavedra-2-ambientes--18699539,,,,,,,,,,,,,,,,,https://www.argenprop.com/static-content/93599681/5ec3cd57-1357-4155-be74-0621c0182d14_u_small.jpg,images/18699539.jpg,,,b''
36,18107768.0,https://www.argenprop.com/ph-en-venta-en-mataderos-9-ambientes--18107768,240000.0,USD,,,170.0,54.0,234.0,,,9.0,,Bueno,,,-34.64331,-58.49047,https://www.argenprop.com/static-content/86770181/bf45307d-eab7-408e-ae73-46a265cf95a4_u_small.jpg,images/18107768.jpg,,,b''
37,15671613.0,https://www.argenprop.com/departamento-en-venta-en-liniers-4-ambientes--15671613,85000.0,USD,60000.0,,70.0,,70.0,40.0,,4.0,1.0,,Frente,,-34.642647,-58.525433,https://www.argenprop.com/static-content/31617651/3a613307-5c92-4ad2-a1f8-f40b787191e4_u_small.jpg,images/15671613.jpg,,,b''
38,18870205.0,https://www.argenprop.com/departamento-en-venta-en-monserrat-2-ambientes--18870205,68000.0,USD,,,43.0,,43.0,,,2.0,1.0,,Contrafrente,N,-34.616146,-58.37503,https://www.argenprop.com/static-content/50207881/3267942e-ba69-48c7-9826-0130ed3e2c09_u_small.jpg,images/18870205.jpg,,,b''
39,18870234.0,https://www.argenprop.com/departamento-en-venta-en-las-canitas-3-ambientes--18870234,240000.0,USD,400000.0,,70.0,5.0,75.0,,,3.0,2.0,,Frente,SE,-34.57118,-58.43186,https://www.argenprop.com/static-content/43207881/668e98d1-39ed-40d3-bc60-e68c5b832bec_u_small.jpg,images/18870234.jpg,,,b''
40,18858386.0,https://www.argenprop.com/departamento-en-venta-en-san-nicolas-3-ambientes--18858386,98000.0,USD,200000.0,,70.0,,70.0,70.0,,3.0,1.0,,Interno,E,-34.6036,-58.37675,https://www.argenprop.com/static-content/68385881/602cb534-d947-45f2-8bd5-031f751d3f98_u_small.jpg,images/18858386.jpg,,,b''
41,18874914.0,https://www.argenprop.com/departamento-en-venta-en-puerto-madero-2-ambientes--18874914,550000.0,USD,510000.0,,65.0,,65.0,,,2.0,,,Frente,,-34.617718,-58.362057,https://www.argenprop.com/static-content/41947881/de68fbcb-139e-4d54-9afa-9089278ea1fc_u_small.jpg,images/18874914.jpg,,,b''
42,18874940.0,https://www.argenprop.com/departamento-en-venta-en-puerto-madero-2-ambientes--18874940,500000.0,USD,510000.0,,60.0,,60.0,,,2.0,1.0,,Frente,,-34.617718,-58.362057,https://www.argenprop.com/static-content/04947881/d97e39ac-f8c9-46d3-8255-b6c8ebb1d3d5_u_small.jpg,images/18874940.jpg,,,b''
43,18875529.0,https://www.argenprop.com/departamento-en-venta-en-parque-chas-1-ambiente--18875529,,ARS,,,44.0,,44.0,,,1.0,1.0,,Contrafrente,SE,-34.585087,-58.474182,https://www.argenprop.com/static-content/92557881/8062770e-fabb-42b5-b42e-8055e0083dee_u_small.jpg,images/18875529.jpg,,,b''
44,18290447.0,https://www.argenprop.com/departamento-en-venta-en-recoleta-3-ambientes--18290447,110000.0,USD,115000.0,,33.0,,33.0,50.0,,3.0,2.0,,Interno,,-34.591293,-58.39035,https://www.argenprop.com/static-content/74409281/0b284991-c4c8-4c4f-80ca-eeed7b472269_u_small.jpg,images/18290447.jpg,,,b''
45,18290156.0,https://www.argenprop.com/departamento-en-venta-en-recoleta-2-ambientes--18290156,92000.0,USD,105000.0,,39.0,6.0,45.0,45.0,,2.0,1.0,,Frente,N,-34.60094,-58.404823,https://www.argenprop.com/static-content/65109281/aaabe815-48bf-457b-afc7-09b2c74c02be_u_small.jpg,images/18290156.jpg,,,b''
46,18290155.0,https://www.argenprop.com/departamento-en-venta-en-balvanera-2-ambientes--18290155,92000.0,USD,105000.0,,39.0,6.0,45.0,45.0,,2.0,1.0,,Frente,N,-34.60094,-58.404823,https://www.argenprop.com/static-content/55109281/61dfc779-6e15-44cb-b071-a607249b5f3e_u_small.jpg,images/18290155.jpg,,,b''
47,18549297.0,https://www.argenprop.com/departamento-en-venta-en-palermo-soho-2-ambientes--18549297,210000.0,USD,,,42.0,32.0,74.0,,,2.0,1.0,,,,-34.583233,-58.42564,https://www.argenprop.com/static-content/79294581/dd3c0e8c-c68d-490e-bc26-9f9691e4716e_u_small.jpg,images/18549297.jpg,,,b''
48,18739200.0,https://www.argenprop.com/departamento-en-venta-en-belgrano-1-ambiente--18739200,110000.0,USD,,,35.0,,35.0,,,1.0,1.0,,Contrafrente,E,-34.550022,-58.454803,https://www.argenprop.com/static-content/00293781/3c35c87e-9a7f-47ea-9b80-da63512b6d7e_u_small.jpg,images/18739200.jpg,,,b''
49,18739366.0,https://www.argenprop.com/departamento-en-venta-en-nunez-2-ambientes--18739366,178000.0,USD,,,42.0,,42.0,,,2.0,1.0,,Frente,N,-34.550022,-58.454803,https://www.argenprop.com/static-content/66393781/6c3cba80-4364-412b-bcc3-7bf6129622ae_u_small.jpg,images/18739366.jpg,,,b''
50,18739198.0,https://www.argenprop.com/departamento-en-venta-en-nunez-1-ambiente--18739198,110000.0,USD,,,35.0,,35.0,,,1.0,1.0,,Contrafrente,E,-34.550022,-58.454803,https://www.argenprop.com/static-content/89193781/a0080c9a-bb52-45f2-a573-1107981ea5c4_u_small.jpg,images/18739198.jpg,,,b''
51,18739381.0,https://www.argenprop.com/departamento-en-venta-en-belgrano-2-ambientes--18739381,178000.0,USD,,,42.0,,42.0,,,2.0,1.0,,Frente,N,-34.550022,-58.454803,https://www.argenprop.com/static-content/18393781/170a57bc-611f-4c2e-ad89-a426a4d9df66_u_small.jpg,images/18739381.jpg,,,b''
52,17081575.0,https://www.argenprop.com/departamento-en-venta-en-floresta-sur-1-ambiente--17081575,65000.0,USD,,Departamento,30.0,,30.0,15.0,,1.0,1.0,Excelente,Frente,SE,-34.63745,-58.47669,https://www.argenprop.com/static-content/57518071/4ed0b3c0-1815-4359-81f5-c3abd67aa41d_u_small.jpg,images/17081575.jpg,,,b''
53,18662511.0,https://www.argenprop.com/departamento-en-venta-en-villa-crespo-4-ambientes--18662511,385000.0,USD,,,90.0,37.0,127.0,,,4.0,2.0,,,,-34.596436,-58.43005,https://www.argenprop.com/static-content/11526681/55da7a91-c42a-4ba0-86a7-d838bf2765b0_u_small.jpg,images/18662511.jpg,,,b''
54,17330500.0,https://www.argenprop.com/departamento-en-venta-en-parque-avellaneda-3-ambientes--17330500,67000.0,USD,60000.0,Departamento,55.0,,57.0,10.0,,3.0,1.0,Excelente,Frente,NE,-34.66072,-58.46759,https://www.argenprop.com/static-content/00503371/70517318-ceda-4c96-a125-34c86b5b46a6_u_small.jpg,images/17330500.jpg,,,b''
55,11009561.0,https://www.argenprop.com/departamento-en-venta-en-floresta-sur-2-ambientes--11009561,110000.0,USD,,Departamento,40.0,5.0,45.0,,,2.0,,,,,-34.63596,-58.48947,https://www.argenprop.com/static-content/16590011/7fc37f16-e963-4f3e-ad51-19cc8864bb24_u_small.jpg,images/11009561.jpg,,,b''
56,18875425.0,https://www.argenprop.com/departamento-en-venta-en-villa-del-parque-1-ambiente--18875425,,,,,,,,,,,,,,,,,https://www.argenprop.com/static-content/52457881/9643045e-abbb-4a4d-9dc9-0b2966edc7e1_u_small.jpg,images/18875425.jpg,,,b''
57,18875546.0,https://www.argenprop.com/departamento-en-venta-en-caballito-4-ambientes--18875546,135000.0,USD,300000.0,,74.0,3.0,77.0,,,4.0,2.0,Bueno,,,-34.61602,-58.43919,https://www.argenprop.com/static-content/64557881/954f7427-e104-43fc-bf8a-9150c2a8ead3_u_small.jpg,images/18875546.jpg,,,b''
58,18875545.0,https://www.argenprop.com/departamento-en-venta-en-caballito-4-ambientes--18875545,135000.0,USD,300000.0,,74.0,3.0,77.0,,,4.0,2.0,Bueno,,,-34.61602,-58.43919,https://www.argenprop.com/static-content/54557881/61cadcc0-d9c3-40c3-8ea8-c9c43ac406d1_u_small.jpg,images/18875545.jpg,,,b''
59,9020192.0,https://www.argenprop.com/casa-en-venta-en-barracas-4-ambientes--9020192,180000.0,USD,,,181.0,166.0,347.0,10.0,,4.0,2.0,Excelente,,N,-34.65331,-58.3922,https://www.argenprop.com/static-content/2910209/d256fa9b-d206-4035-bca8-6a2ecbd171d4_u_small.jpg,images/9020192.jpg,,,b''
60,18782489.0,https://www.argenprop.com/departamento-en-venta-en-palermo-2-ambientes--18782489,83000.0,USD,100800.0,,37.0,,37.0,55.0,,2.0,1.0,,Lateral,,-34.593227,-58.43197,https://www.argenprop.com/static-content/98428781/b4eb5686-e7af-4445-8e2a-66b83b4924e4_u_small.jpg,images/18782489.jpg,,,b''
61,18782478.0,https://www.argenprop.com/departamento-en-venta-en-palermo-2-ambientes--18782478,83000.0,USD,100800.0,,37.0,,37.0,55.0,,2.0,1.0,,Lateral,,-34.593227,-58.43197,https://www.argenprop.com/static-content/87428781/72a0a2b8-d5a5-4e60-873b-9cf98de71165_u_small.jpg,images/18782478.jpg,,,b''
62,18657752.0,https://www.argenprop.com/ph-en-venta-en-chacarita-3-ambientes--18657752,135000.0,USD,,,64.0,12.0,76.0,48.0,,3.0,,,Frente,E,-34.585426,-58.44573,https://www.argenprop.com/static-content/25775681/dd1bf5e9-f461-4f08-b853-040532c04e72_u_small.jpg,images/18657752.jpg,,,b''
63,18814924.0,https://www.argenprop.com/departamento-en-venta-en-caballito-2-ambientes--18814924,121000.0,USD,98000.0,,50.0,,50.0,50.0,,2.0,1.0,Bueno,Frente,N,-34.61632,-58.43139,https://www.argenprop.com/static-content/42941881/7d24d3f2-6680-4881-95f2-dd83b6380481_u_small.jpg,images/18814924.jpg,,,b''
64,18875557.0,https://www.argenprop.com/departamento-en-venta-en-belgrano-2-ambientes--18875557,108360.0,USD,,,27.0,,31.0,1.0,,2.0,1.0,Bueno,,,-34.55964,-58.45493,https://proxy.sosiva451.com/proxy/1688BC30F7AF40B4AE58FD849CCC5E9B01701888D066CC693634BBBF54C64F831179D98782F27DB87AF12FE090B45F5EDDA6CB73692025065ECB8F45F2EE874A4BC0CE2D2A85F7CBD2A8D02D6C1A4F30FA6BDCB5F3372C99144A26A3C396AB7F20101A11FD56CCCB66007C9A14F14905DE8DA926CBC08FC39B79C0123FB8B963D49269EBA041A543A7DC5E71F0222B05EE70BD71A67A7D77ECE1F77B0C55760B,images/18875557.jpg,,,b''
65,18875556.0,https://www.argenprop.com/departamento-en-venta-en-balvanera-1-ambiente--18875556,,,,,,,,,,,,,,,,,https://proxy.sosiva451.com/proxy/EFB4E278D829403958AE5CB29EA2FC84B02693681507E8A58C89A41BEC5133E91F599DE37E99A92A25803DE5581FE8D74A3B8F70999DE92C8E61BFD53375A9FEB9DFAA0D74EC851BBC14AEE3B587611E5A06E216C5A09D0E40A62D3D26AD8C81765986F4F7D41762723E967EDD511CF5F1CC505DC00B84C683474851CC9755EEEF6FAD11B52207234F5B6E5AD4877AC28584F7BAA3A93406EB62B8000F7E0B73,images/18875556.jpg,,,b''
66,18875555.0,https://www.argenprop.com/departamento-en-venta-en-palermo-3-ambientes--18875555,135000.0,USD,120000.0,,72.0,,72.0,56.0,,3.0,1.0,,,,-34.57423,-58.43393,https://proxy.sosiva451.com/proxy/D37776CC44D554D45B294CE5A8899BAB0486EBB9F5081DBD839CD1850451F6BD83A8C0999E4B0E835EA76CC155FC93A9E433D176EED3A08D424FADC7E4E61D62277FF26BE3F07B40F1F2F1E350C4BB64975E555D8B3494AA909B9808ED619567836CA8FE09ED6B49C2DA16CB73876DC267AFBF0655E7DF792DD1DA0D18ED7082AC37F57D29B15881469B62F4F3CE8A2DDD42BE827027EDF150CD6CD49AD2493F,images/18875555.jpg,,,b''
67,16914102.0,https://www.argenprop.com/departamento-en-venta-en-villa-del-parque-3-ambientes--16914102,,,,,,,,,,,,,,,,,https://www.argenprop.com/static-content/20141961/64568fb0-ff3f-4005-a5cb-806d079d0468_u_small.jpg,images/16914102.jpg,,,b''
68,18875609.0,https://www.argenprop.com/departamento-en-venta-en-recoleta-3-ambientes--18875609,249000.0,USD,178000.0,Duplex,64.0,65.0,129.0,6.0,,3.0,2.0,Bueno,,S,-34.59296,-58.41169,https://proxy.sosiva451.com/proxy/409822249B0779C90D40ACEAC6146141EBEFDD44C25ADED2EDF6B1531D2BF7425C230B9DD89C4DDB8004B20C2310EB7FBC091735470C23A4F9093CF7E7BA5672D237005D66B89125547E06C98034A563DC0D8FFAD81B490F84BC6B058F0BD9A00711FD048046B190F07B9A079D2F59798FCF2D8359BFDA0CD3CFEC1AE28BE7F5C4B45C934F159AD585862B55BCBFC8C5834D0CEACE8E314331DBD3509572F340,images/18875609.jpg,,,b''
69,18875605.0,https://www.argenprop.com/departamento-en-venta-en-nunez-3-ambientes--18875605,124000.0,USD,190000.0,,56.0,,62.0,38.0,,3.0,1.0,Muy Bueno,,,-34.55585,-58.47167,https://proxy.sosiva451.com/proxy/8FC0BC4ACFF168BF62500F65E1C7A22851BC51AAA81EC455D69285189E187CBD822BEEBD90EDE487ECFB70B1E189D14167DF9F9C19CFBF4D6517F9F80C623C44B12E771FE5156A2ECA70B9B749003D7527DA9B7B8D8E9E4A024293AC008DCA8F1ED3221E1396565B865479596A2A3AFFCAA3138DDD4854689C55E955120E5EB028A3407793A470B599FBC82100C901D2D4F62F33859F16FDE2FA5F5F1D47FBE5,images/18875605.jpg,,,b''
70,18875604.0,https://www.argenprop.com/departamento-en-venta-en-barrio-norte-4-ambientes--18875604,150000.0,USD,250000.0,,84.0,,87.0,56.0,,4.0,2.0,Bueno,,,-34.59911,-58.4021,https://proxy.sosiva451.com/proxy/5C62E29A1452024DAC0D7B4C4D8FF791F8244DA9425A402CCB2B9001E529CAB172F0A3B86AC9C07ABFD7E546A453470126936F1AD12D3DC0221CDFDF1AF7462BB8617CD3075C2627904E1FE32E900469DAC62816833D4D77BCEA5BC5CD12FA3E2407451C9C6EEBC849CE8C059145CAE04C119828160D5375C7C56AD9A5A629E82F76350DFFBC3937FEDECCA725536653B2D2D91324C5835C21FB359D7B3F7AB3,images/18875604.jpg,,,b''
71,18875603.0,https://www.argenprop.com/departamento-en-venta-en-villa-crespo-1-ambiente--18875603,90000.0,USD,77000.0,,30.0,,32.0,2.0,,1.0,1.0,Excelente,,,-34.5992,-58.4483,https://proxy.sosiva451.com/proxy/EF75345D5DF3FD8B3DF795F61F122FDC6FF235E37199B92A3BA1E72055A7784E3D7FB4A8DC8D458344F64F4A1241F21D28373AF559EBC5FC0B41D278F549A03E41845A78A12E30BD75DF7A1764E70B2338BC228164970411478739F33EF43CA93AF28786F5794A810ED1DD13857AD9AD4E476033D7612E6232FAA47627A109A8598472279C7961FA8405B0718CF1E38F32B029CB643B8147E9479C5A4251167F,images/18875603.jpg,,,b''
72,18875600.0,https://www.argenprop.com/departamento-en-venta-en-paternal-2-ambientes--18875600,159000.0,USD,,,47.0,,55.0,4.0,,2.0,1.0,Excelente,,,-34.60274,-58.46619,https://proxy.sosiva451.com/proxy/6FFFEE6C65804FDD073D57512A4413B04A47B34B3C2061193C31011540E9BD90A9777B176156EDE25189994609A5F74F19E30035E14E2E24785F602E087A045440EA673350E9EBF958AEDB169F87B56B74034E0D29B1535F81E6743CB68C736BB8497C24BEF747F877EF58A0E2DE7BF3946452E621BA0AC70AA88EB76FD72A27053909A867D97840F6833EAFB9D941A89707CC4D318ED6B11D0C512633060B0C,images/18875600.jpg,,,b''
73,18875599.0,https://www.argenprop.com/departamento-en-venta-en-san-nicolas-1-ambiente--18875599,52000.0,USD,184600.0,,36.0,,36.0,46.0,,1.0,1.0,Bueno,,,-34.60512,-58.38737,https://proxy.sosiva451.com/proxy/D0CAF5D357729E521D90D50D77318DB8B6595073C95ED150C57C0E71A838944533A4CC9954650E911E1CC69A510B45695A267EC0AAEC80242D2BE959061C4D73C97F9E15C11DAFDCF83D53CDEF7BD7477779ECF4D070B8FDC42EC0E08D20A8B667C99135562BB4730FE9428310738C4464352C4941505F86145892F299AFD05DB0AA7D7F3ED588F57E45D2A76B2276CD5C1B5EFDB85974FB15D87D4835B0DCCF,images/18875599.jpg,,,b''
