idx,id,url,precio,moneda,expensas,tipo_unidad,area_m2_cubierta,area_m2_descubierta,area_m2_total,antiguedad,estado_edificio,ambientes,banos,estado,disposicion,orientacion,latitud,longitud,image_url,imagen_path,valido_desde,valido_hasta,cocheras
553,16288328.0,https://www.argenprop.com/departamento-en-venta-en-caballito-2-ambientes--16288328,85000.0,USD,40000.0,Departamento,44.0,,44.0,70.0,,2.0,1.0,Excelente,Lateral,,-34.62497,-58.43148,https://proxy.sosiva451.com/proxy/9B3E4CCC12D01C0B0EC99E764FBC025A9168948E4C5D0D163D7679B29476F0B45008AC504E68809FBE1F0B9C488AB839DA62616068543ACE20E7FFC7D220DA6105222C41548DB8FA2F99352F987C156B04B5E84F17086AD141A5731E613F2863,images/16288328.jpg,,,b''
554,18598993.0,https://www.argenprop.com/departamento-en-venta-en-belgrano-3-ambientes--18598993,314965.0,USD,,Departamento,79.0,11.0,90.0,,,3.0,2.0,Excelente,Contrafrente,S,-34.57763,-58.46756,https://proxy.sosiva451.com/proxy/68FD86483F3ABD5449F110D13B7FEFEE956A19C397DCCFBBF0BA9481F9927D4C427A5FBFC009B423B8CF1961CB2F82B1319BE4823BF65810E6A365ECA5117B30357C6F2B5D40D0542C22A8ABDECF36DFCE6D36810E90B648C123EC8810CCB26E,images/18598993.jpg,,,b''
555,17950568.0,https://www.argenprop.com/departamento-en-venta-en-villa-pueyrredon-1-ambiente--17950568,71916.0,USD,,Departamento,38.0,3.0,41.0,,,1.0,1.0,,Frente,E,-34.58995,-58.50541,https://proxy.sosiva451.com/proxy/E80E7C90726BB23436F69B548B0E1DB008374AD518C808326F0B0449485C794271CE49E3718656956EF4AE02DA03B2102091EFF7517F8571AAA7F847A805D1456638818E6245F9F1F112791D374986112925F8188B7B00BE48CB19F46D2EC6DC,images/17950568.jpg,,,b''
556,18517181.0,https://www.argenprop.com/departamento-en-venta-en-caballito-2-ambientes--18517181,159750.0,USD,,Departamento,50.0,4.0,57.0,,,2.0,2.0,,Frente,,-34.62783,-58.43353,https://proxy.sosiva451.com/proxy/F6495C084279B848D60311C98C92FC6DAE0D91BB112CCD8B2EA0D0D3C7090D6FD46E90CC19C6F655C38FC0609F32D89C1C7D9B248222A5F7961CB6A57459FB13136E26CE634CDFA1BA908E0FF10AFFE615B856490764598C3E396452885B812A,images/18517181.jpg,,,b''
557,16633422.0,https://www.argenprop.com/departamento-en-venta-en-palermo-hollywood-1-ambiente--16633422,143800.0,USD,,Departamento,29.0,,33.0,,,1.0,1.0,Excelente,Contrafrente,,-34.58422,-58.43828,https://proxy.sosiva451.com/proxy/AEEFE95F6DAF5F1B93B60B0EEFFB53479CC2172844A1FE6FA545F689AFE9C66EF7D6CAD497747C7ACABB871E151A5FFC4FF2977AE6A5365CE6043BAA85505210496435B98AF584283364C6B23C8D8A1FA9E871EE408F257FB30CF8867ACE9F13,images/16633422.jpg,,,b''
558,15480926.0,https://www.argenprop.com/departamento-en-venta-en-palermo-1-ambiente--15480926,99130.0,USD,,Departamento,33.0,,33.0,,,1.0,1.0,Excelente,Contrafrente,,-34.58716,-58.4127,https://proxy.sosiva451.com/proxy/FF2E834E13D76D9D411DC190EF75F3E58B411DFB69A31FF3E79F50B826F66FFF32241AE3BD29E44F45EF3017B86F4D843E710931F6552F0BB541FDEA370530EE1F0D3787949CA351C8694424ED199F4326FD00C54B01AD0D41B2B3200678EAFB,images/15480926.jpg,,,b''
559,12742560.0,https://www.argenprop.com/departamento-en-venta-en-colegiales-3-ambientes--12742560,297000.0,USD,,Departamento,84.0,9.0,93.0,,,3.0,2.0,Excelente,Frente,,-34.57335,-58.44788,https://proxy.sosiva451.com/proxy/C1ED1CCE128613ECC5E1632D12D92873BC7F6033484FC89D76321864A1B5CC5FD13A60E86BC7FB835EF09C0C7220EF971398EBFDF35694C6E8C30DFFCF37E38551B387F590F1D63527B1D6B372E01F2AA4A3842ABDB969431F4AB1072EDA50CE,images/12742560.jpg,,,b''
560,18692296.0,https://www.argenprop.com/departamento-en-venta-en-las-canitas-4-ambientes--18692296,,,,,,,,,,,,,,,,,https://proxy.sosiva451.com/proxy/3BC9E3D7A8CA1AC37B181D7C499F76704729C97FB7FB205AF6B368B88C67A06D2E0C826A85AF8653129D8E360269D80830C20D46BBC7228B0C4D08CDF6B83685F72AF13C98070E7E913011EEF4DCD1D3E49CD6A754F9CBFC543F8906F2360DBE,images/18692296.jpg,,,b''
561,15187862.0,https://www.argenprop.com/departamento-en-venta-en-parque-chacabuco-2-ambientes--15187862,78000.0,USD,,Departamento,40.0,,40.0,,,2.0,1.0,Excelente,Contrafrente,S,-34.63012,-58.43084,https://proxy.sosiva451.com/proxy/42FD1365434349790A74FEFB4D31A263A8A75E3D1DFE711A66DBB04E4EEE6FAFB2A17702F20ECDD14862EA95E599D8947F9DD25E9591B37875AF3952DBBB60BDA701472B5F1ECCD25A195DF7738D70BD64ED78D6058F2A770C575BB01C818FF1,images/15187862.jpg,,,b''
562,18832589.0,https://www.argenprop.com/departamento-en-venta-en-balvanera-3-ambientes--18832589,155000.0,USD,220000.0,Departamento,88.0,2.0,90.0,90.0,,3.0,2.0,Excelente,Contrafrente,,-34.60123,-58.40087,https://proxy.sosiva451.com/proxy/8DB7183AD5FD4AA67F95A96248E8228DAF58CF519C2769C83AEF4CB353F6650D04A152A25373AAB62E091FD6FEE48D3D5A4ABFF953119A6342C1608EE514AA54C45D9F1F22858C5231D44A86B2E1B094406B98DD1D050E01E96A646DF2F6DF32,images/18832589.jpg,,,b''
