id,url,precio,expensas,area_m2,dormitorios,antiguedad,puntaje_arg_prop,imagen_path,image_url,lat,lon,valido_desde
18919680,https://www.argenprop.com/departamento-en-alquiler-en-chacarita-2-ambientes--18919680,"(nan, nan)",0.0,,1 dorm.,,0,images/18919680.jpg,https://www.argenprop.com/static-content/08691981/f786635f-d261-4a61-92f6-eaea5fda9d46_u_small.jpg,-34.590958,-58.445454,2026-01-26 19:07:04.294351
18535961,https://www.argenprop.com/departamento-en-alquiler-en-parque-chacabuco-2-ambientes--18535961,"(nan, nan)",0.0,,1 dorm.,,0,images/18535961.jpg,https://www.argenprop.com/static-content/16953581/04a50830-b3a7-4988-9523-012a1327d77c_u_small.jpg,-34.633762,-58.429344,2026-01-26 19:07:04.296354
18919674,https://www.argenprop.com/departamento-en-alquiler-en-chacarita-2-ambientes--18919674,"(nan, nan)",0.0,,1 dorm.,,0,images/18919674.jpg,https://www.argenprop.com/static-content/47691981/70d4150f-fbbd-46db-ad02-e1939dd31bc9_u_small.jpg,-34.590958,-58.445454,2026-01-26 19:07:04.297354
18919652,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-1-ambiente--18919652,"(nan, nan)",0.0,,,,0,images/18919652.jpg,https://www.argenprop.com/static-content/25691981/648ca6ed-d651-4c3a-87ca-d9b21513faec_u_small.jpg,-34.598232,-58.408512,2026-01-26 19:07:04.298358
18810569,https://www.argenprop.com/departamento-en-alquiler-en-villa-del-parque-1-ambiente--18810569,"(nan, nan)",0.0,,,,520,images/18810569.jpg,https://www.argenprop.com/static-content/96501881/402d68bc-cddf-4b63-a95c-d9449367bf5c_u_small.jpg,-34.59753,-58.48856,2026-01-26 19:07:04.299366
18907333,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-1-ambiente--18907333,"(nan, nan)",0.0,,,,0,images/18907333.jpg,https://www.argenprop.com/static-content/33370981/8344246b-9373-4d56-b7bb-442824209d9d_u_small.jpg,-34.59467,-58.39015,2026-01-26 19:07:04.300362
18919621,https://www.argenprop.com/departamento-en-alquiler-en-almagro-2-ambientes--18919621,"(nan, nan)",0.0,,1 dorm.,,0,images/18919621.jpg,https://www.argenprop.com/static-content/12691981/3ca49cac-ed87-489f-a320-af3f0eecb325_u_small.jpg,-34.61223,-58.42225,2026-01-26 19:07:04.300362
18881082,https://www.argenprop.com/departamento-en-alquiler-en-san-nicolas-1-ambiente--18881082,"(nan, nan)",0.0,,1 dorm.,,0,images/18881082.jpg,https://www.argenprop.com/static-content/28018881/eebdda41-f791-447f-88d7-879938e8cbe9_u_small.jpg,-34.600872,-58.378136,2026-01-26 19:07:04.301317
18919605,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-6-ambientes--18919605,"(nan, nan)",0.0,,3 dorm.,,1,images/18919605.jpg,https://www.argenprop.com/static-content/50691981/eabad828-841d-459d-9a3b-158a4f8e6303_u_small.jpg,-34.594067,-58.3908,2026-01-26 19:07:04.302346
18881082,https://www.argenprop.com/departamento-en-alquiler-en-san-nicolas-1-ambiente--18881082,"(nan, nan)",0.0,,1 dorm.,,0,images/18881082.jpg,https://proxy.sosiva451.com/proxy/A7A28372F377307D01ED5D2F8CCFD8765DCD325E33485334185FD09917823EC7C82A22EAC4C0771CD9E616F211A728CAE1551827F227E9975C2D297D9A7FC6E9B86E3BBEE2C21BF4A64BF38CF5D8D81DA2968C56D808B7A6B33D923FE27D25755E5EBA3C8F2450A647A5FF97D731C02B4F18F1C84F2EF867FBFE5F55FE45001FE55ED180161524400CAAB1BE256FE14A,-34.600872,-58.378136,2026-01-26 19:23:51.531646
18919748,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-2-ambientes--18919748,"(nan, nan)",0.0,,1 dorm.,,0,images/18919748.jpg,https://proxy.sosiva451.com/proxy/03A95D643790E6A65D271FE5CB4BEE39AB9B339807C102D7B5CEEAFCACE52B648BBECC9C702AA9D536AF303BBB7B48AB667B5F38FF476E3E385042D161D6F50E3CE3D457099605CD6BB2C3FA8C52EA600B1478758DC468B85E546BEBC40D2745315D6E66B73BDE645B42B0411E50650DEFB73B37BD44426D00BB8FD072881F984686EB4DCD7407C41E879BBAD83D1C789EBBB7D5C533958AFC1ACFB261DEC353,-34.55928,-58.46072,2026-01-26 19:23:51.544269
