idx,id,valido_desde,valido_hasta,url,precio,moneda,expensas,tipo_unidad,area_m2_cubierta,area_m2_descubierta,area_m2_total,antiguedad,estado_edificio,ambientes,banos,estado,disposicion,orientacion,cocheras,latitud,longitud,image_url,imagen_path,dormitorios,geometry,index_right,barrio,comuna,antiguedad_cat,estado_num,log_precio,tipo_valor_atipico
2777,18745482.0,2026-02-05 01:14:48.177292,,https://www.argenprop.com/departamento-en-alquiler-en-flores-3-ambientes--18745482,760000.0,ARS,30000.0,,55.0,0.0,55.0,40.0,,3.0,1.0,Muy Bueno,,N,0.0,-34.628902,-58.467617,https://www.argenprop.com/static-content/28454781/f1c3a2b4-e796-479c-a96e-f76719d33787_u_small.jpg,images/18745482.jpg,,POINT (-6508585.352336144 -4113564.0687617967),12.0,Flores,7.0,40,4,13.541073712262515,BAJO
2820,16852460.0,2026-02-05 01:14:48.320652,,https://www.argenprop.com/departamento-en-alquiler-en-barracas-2-ambientes--16852460,650000.0,ARS,250000.0,Departamento,41.0,4.0,45.0,15.0,,2.0,1.0,Muy Bueno,Frente,NO,0.0,-34.64477,-58.37333,https://www.argenprop.com/static-content/06425861/c097d782-0431-4409-8dc8-e23be1705b44_u_small.jpg,images/16852460.jpg,,POINT (-6498089.371507721 -4115710.981353211),3.0,Barracas,4.0,15,4,13.38472764187182,BAJO
2828,18526281.0,2026-02-05 01:14:48.352622,,https://www.argenprop.com/departamento-en-alquiler-en-palermo-3-ambientes--18526281,1779828.0,USD,0.0,,55.0,5.0,60.0,5.0,,3.0,1.0,Excelente,Frente,,1.0,-34.567116,-58.432667,https://www.argenprop.com/static-content/18262581/791f00ce-ca4c-45b8-9610-0aa4918be087_u_small.jpg,images/18526281.jpg,,POINT (-6504694.736132921 -4105208.4400956975),20.0,Palermo,14.0,5,5,14.392027288385881,BAJO
2860,18674058.0,2026-02-05 01:14:48.478402,,https://www.argenprop.com/departamento-en-alquiler-en-caballito-4-ambientes--18674058,3707975.0,USD,0.0,,136.0,25.0,161.0,32.78313253012048,,4.0,3.0,Excelente,Frente,S,2.0,-34.62819,-58.45132,https://www.argenprop.com/static-content/85047681/f5de2415-13ad-44b5-912d-2606bd77038c_u_small.jpg,images/18674058.jpg,,POINT (-6506771.178594688 -4113467.7460366953),7.0,Caballito,6.0,33,5,15.125996463466082,BAJO
2861,18674040.0,2026-02-05 01:14:48.478402,,https://www.argenprop.com/departamento-en-alquiler-en-caballito-4-ambientes--18674040,3707975.0,USD,0.0,,136.0,25.0,161.0,32.78313253012048,,4.0,3.0,Excelente,Frente,S,2.0,-34.62819,-58.45132,https://www.argenprop.com/static-content/04047681/8b35eb89-1953-4a26-bb68-5af71617a625_u_small.jpg,images/18674040.jpg,,POINT (-6506771.178594688 -4113467.7460366953),7.0,Caballito,6.0,33,5,15.125996463466082,BAJO
3192,18751736.0,2026-02-05 01:14:49.895235,,https://www.argenprop.com/departamento-en-alquiler-en-barrio-norte-2-ambientes--18751736,650000.0,ARS,249797.0,Departamento,44.0,0.0,44.0,50.0,,2.0,1.0,Muy Bueno,Contrafrente,E,0.0,-34.5854,-58.4059,https://www.argenprop.com/static-content/63715781/2787dbe4-015d-4135-9e04-03f5db2e1bfe_u_small.jpg,images/18751736.jpg,,POINT (-6501715.047322857 -4107680.4291583207),27.0,Recoleta,2.0,50,4,13.38472764187182,BAJO
3690,18969207.0,2026-02-05 01:14:52.049316,,https://www.argenprop.com/departamento-en-alquiler-en-barrio-norte-4-ambientes--18969207,1580000.0,ARS,360000.0,Departamento,130.0,10.0,140.0,40.0,,4.0,3.0,Excelente,Frente,,0.0,-34.59515,-58.39891,https://www.argenprop.com/static-content/70296981/1ad78196-c4fe-4472-9fb9-a0013f346a7e_u_small.jpg,images/18969207.jpg,,POINT (-6500936.924082211 -4108998.847373279),27.0,Recoleta,2.0,40,5,14.27293540500315,BAJO
3691,18969220.0,2026-02-05 01:14:52.065535,,https://www.argenprop.com/departamento-en-alquiler-en-palermo-4-ambientes--18969220,1580000.0,ARS,360000.0,Departamento,130.0,10.0,140.0,40.0,,4.0,3.0,Excelente,Frente,,0.0,-34.59515,-58.39891,https://www.argenprop.com/static-content/02296981/4a157def-84d2-45a6-804a-ae107745cc16_u_small.jpg,images/18969220.jpg,,POINT (-6500936.924082211 -4108998.847373279),27.0,Recoleta,2.0,40,5,14.27293540500315,BAJO
4182,18517512.0,2026-02-06 21:35:24.233005,,https://www.argenprop.com/departamento-en-alquiler-en-villa-devoto-4-ambientes--18517512,2600000.0,ARS,0.0,Semipiso,94.0,22.0,116.0,27.40909090909091,,4.0,2.0,Excelente,Frente,SE,0.0,-34.59224,-58.5123,https://www.argenprop.com/static-content/21571581/e8b3e9cd-e1fc-4e93-8048-beaeece94bc6_u_small.jpg,images/18517512.jpg,3.0,POINT (-6513559.441143262 -4108605.334046617),37.0,Villa Devoto,11.0,27,5,14.77102200299171,BAJO
4237,18774741.0,2026-02-06 21:39:53.558367,,https://www.argenprop.com/departamento-en-alquiler-en-villa-devoto-3-ambientes--18774741,950000.0,ARS,190000.0,Departamento,58.0,0.0,65.0,45.0,,3.0,1.0,Muy Bueno,Frente,NO,1.0,-34.60743,-58.50971,https://www.argenprop.com/static-content/14747781/374efb57-e539-4448-bd9d-ced9d14e7f18_u_small.jpg,images/18774741.jpg,2.0,POINT (-6513271.123662106 -4110659.598419057),37.0,Villa Devoto,11.0,45,4,13.764217263576723,BAJO
