id;url;precio;expensas;area_m2;ambientes;antiguedad;barrio;comuna;moneda
18741379;https://www.argenprop.com/departamento-en-alquiler-en-barrio-norte-2-ambientes--18741379;600000;240000;45.0;2;50.0;Recoleta;2.0;$
14614900;https://www.argenprop.com/departamento-en-alquiler-en-barrio-norte--14614900;650000;150000;35.0;1;45.0;Recoleta;2.0;$
18805679;https://www.argenprop.com/departamento-en-alquiler-en-recoleta-2-ambientes--18805679;700000;120000;27.0;2;3.591.869.918.699.180;Recoleta;2.0;$
2458360;https://www.argenprop.com/departamento-en-alquiler-en-recoleta-3-ambientes--2458360;930000;220000;72.0;3;50.0;Recoleta;2.0;$
18454496;https://www.argenprop.com/departamento-en-alquiler-en-recoleta-3-ambientes--18454496;1300000;260000;85.0;2;55.0;Recoleta;2.0;$
18926028;https://www.argenprop.com/departamento-en-alquiler-en-barrio-norte-4-ambientes--18926028;2000000;740000;94.0;4;60.0;Recoleta;2.0;$
18054541;https://www.argenprop.com/departamento-en-alquiler-en-recoleta-1-ambiente--18054541;480000;230000;28.0;1;30.0;Retiro;1.0;$
18657270;https://www.argenprop.com/departamento-en-alquiler-en-san-nicolas-1-ambiente--18657270;380000;90000;25.0;1;43.369.565.217.391.300;San Nicolas;1.0;$
12027144;https://www.argenprop.com/departamento-en-alquiler-en-centro-1-ambiente--12027144;400000;80000;23.0;1;60.0;San Nicolas;1.0;$
2855331;https://www.argenprop.com/departamento-en-alquiler-en-san-nicolas-1-ambiente--2855331;420000;115000;36.0;1;35.0;San Nicolas;1.0;$
18702166;https://www.argenprop.com/departamento-en-alquiler-en-congreso-2-ambientes--18702166;480000;170000;33.0;2;65.0;San Nicolas;1.0;$
18114979;https://www.argenprop.com/departamento-en-alquiler-en-microcentro-1-ambiente--18114979;550000;0;33.0;1;43.369.565.217.391.300;San Nicolas;1.0;$
14133591;https://www.argenprop.com/departamento-en-alquiler-en-balvanera-2-ambientes--14133591;700000;190000;51.0;2;33.0;San Nicolas;1.0;$
17530915;https://www.argenprop.com/departamento-en-alquiler-en-san-nicolas-3-ambientes--17530915;700000;250000;67.0;3;43.369.565.217.391.300;San Nicolas;1.0;$
12118023;https://www.argenprop.com/departamento-en-alquiler-en-san-nicolas--12118023;900000;200000;70.0;3;80.0;San Nicolas;1.0;$
17833975;https://www.argenprop.com/departamento-en-alquiler-en-barrio-norte-7-ambientes--17833975;1830000;680000;351.0;7;4.0;San Nicolas;1.0;$
18688121;https://www.argenprop.com/departamento-en-alquiler-en-san-telmo-2-ambientes--18688121;700000;130000;43.0;2;20.0;San Telmo;1.0;$
18633330;https://www.argenprop.com/departamento-en-alquiler-en-villa-devoto-1-ambiente--18633330;600000;100000;38.0;1;1.781.578.947.368.420;Villa Devoto;11.0;$
18926410;https://www.argenprop.com/departamento-en-alquiler-en-villa-devoto-2-ambientes--18926410;600000;215000;45.0;2;20.0;Villa Devoto;11.0;$
7622370;https://www.argenprop.com/departamento-en-alquiler-en-villa-devoto-2-ambientes--7622370;650000;150000;42.0;2;13.0;Villa Devoto;11.0;$
18684029;https://www.argenprop.com/departamento-en-alquiler-en-villa-devoto-2-ambientes--18684029;750000;315000;40.0;2;10.0;Villa Devoto;11.0;$
18312441;https://www.argenprop.com/departamento-en-alquiler-en-belgrano-r-1-ambiente--18312441;500000;0;20.0;1;16.666.666.666.666.600;Villa Urquiza;12.0;$
4950960;https://www.argenprop.com/departamento-en-alquiler-en-almagro--4950960;380000;110000;1;20.0;50.0;Almagro;5.0;$
18774825;https://www.argenprop.com/departamento-en-alquiler-en-balvanera-1-ambiente--18774825;300000;105000;1;22.0;3.339.080.459.770.110;Balvanera;3.0;$
18700621;https://www.argenprop.com/departamento-en-alquiler-en-congreso-1-ambiente--18700621;400000;0;1;30.0;3.339.080.459.770.110;Balvanera;3.0;$
18114304;https://www.argenprop.com/departamento-en-alquiler-en-balvanera-2-ambientes--18114304;450000;120000;2;40.0;55.0;Balvanera;3.0;$
3987795;https://www.argenprop.com/departamento-en-alquiler-en-balvanera-1-ambiente--3987795;450000;130000;2;32.0;3.339.080.459.770.110;Balvanera;3.0;$
17444310;https://www.argenprop.com/departamento-en-alquiler-en-balvanera-2-ambientes--17444310;500000;85000;2;45.0;0.0;Balvanera;3.0;$
12774337;https://www.argenprop.com/departamento-en-alquiler-en-caballito-2-ambientes--12774337;400000;150000;2;40.0;40.0;Caballito;6.0;$
18198295;https://www.argenprop.com/departamento-en-alquiler-en-caballito--18198295;400000;119000;1;28.4;27.273.224.043.715.800;Caballito;6.0;$
16113005;https://www.argenprop.com/departamento-en-alquiler-en-colegiales-1-ambiente--16113005;380000;100000;1;32.0;16.928.571.428.571.400;Chacarita;15.0;$
18711494;https://www.argenprop.com/departamento-en-alquiler-en-chacarita-2-ambientes--18711494;470000;120000;2;42.0;40.0;Chacarita;15.0;$
18178688;https://www.argenprop.com/departamento-en-alquiler-en-monserrat-1-ambiente--18178688;300000;150000;1;25.0;50.0;Constitucion;1.0;$
5558346;https://www.argenprop.com/departamento-en-alquiler-en-flores-1-ambiente--5558346;350000;69000;1;26.0;40.0;Flores;7.0;$
16428906;https://www.argenprop.com/departamento-en-alquiler-en-flores-1-ambiente--16428906;400000;170000;1;23.0;27.255.555.555.555.500;Flores;7.0;$
17577660;https://www.argenprop.com/departamento-en-alquiler-en-flores-2-ambientes--17577660;400000;107000;2;38.0;27.255.555.555.555.500;Flores;7.0;$
18879405;https://www.argenprop.com/departamento-en-alquiler-en-flores-2-ambientes--18879405;400000;132000;2;31.0;56.0;Flores;7.0;$
18789327;https://www.argenprop.com/departamento-en-alquiler-en-flores-1-ambiente--18789327;460000;90000;1;32.0;27.255.555.555.555.500;Flores;7.0;$
18380283;https://www.argenprop.com/departamento-en-alquiler-en-flores-2-ambientes--18380283;500000;85600;2;44.0;27.255.555.555.555.500;Flores;7.0;$
18729531;https://www.argenprop.com/departamento-en-alquiler-en-flores-4-ambientes--18729531;650000;200000;4;72.0;60.0;Flores;7.0;$
18894882;https://www.argenprop.com/departamento-en-alquiler-en-floresta-1-ambiente--18894882;350000;104000;1;34.0;0.0;Floresta;10.0;$
