idx,id,valido_desde,valido_hasta,url,precio,moneda,expensas,tipo_unidad,area_m2_cubierta,area_m2_descubierta,area_m2_total,antiguedad,estado_edificio,ambientes,banos,estado,disposicion,orientacion,cocheras,latitud,longitud,image_url,imagen_path,dormitorios,geometry,index_right,barrio,comuna,antiguedad_cat,estado_num,log_precio
2561,18965773.0,2026-02-05 01:14:47.393751,,https://www.argenprop.com/departamento-en-alquiler-en-balvanera-2-ambientes--18965773,670000.0,ARS,200000.0,Departamento,38.0,3.0,41.0,10.0,,2.0,1.0,Excelente,Contrafrente,,0.0,-34.61502,-58.40689,https://www.argenprop.com/static-content/37756981/5b1150aa-32b6-4369-bb34-7bb026ef13a2_u_small.jpg,images/18965773.jpg,,POINT (-6501825.253618741 -4111686.1952161114),2.0,Balvanera,3.0,10,5,13.415032991367148
2623,18634957.0,2026-02-05 01:14:47.612690,,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-3-ambientes--18634957,1781311.1900000002,USD,0.0,,54.0,6.0,60.0,6.0,,3.0,1.0,Excelente,Frente,,1.0,-34.567116,-58.432667,https://www.argenprop.com/static-content/75943681/95fd3f62-df9b-4af9-9ec6-d4bc40d4db72_u_small.jpg,images/18634957.jpg,,POINT (-6504694.736132921 -4105208.4400956975),20.0,Palermo,14.0,6,5,14.392860274689774
2750,18703062.0,2026-02-05 01:14:48.065464,,https://www.argenprop.com/departamento-en-alquiler-en-palermo-hollywood-3-ambientes--18703062,790000.0,ARS,186000.0,Departamento,55.0,0.0,55.0,50.0,,3.0,1.0,Muy Bueno,Interno,E,0.0,-34.58422,-58.43828,https://www.argenprop.com/static-content/26030781/0c76b645-57f8-447f-8d6b-e1a9471b3fa5_u_small.jpg,images/18703062.jpg,,POINT (-6505319.572434743 -4107520.877243032),20.0,Palermo,14.0,50,4,13.579788224443204
2772,18966061.0,2026-02-05 01:14:48.161397,,https://www.argenprop.com/departamento-en-alquiler-en-boedo-2-ambientes--18966061,670000.0,ARS,200000.0,Departamento,38.0,3.0,41.0,10.0,,2.0,1.0,Excelente,Contrafrente,,0.0,-34.61502,-58.40689,https://www.argenprop.com/static-content/16066981/a32f5044-15b3-4082-8664-71a42b4c2526_u_small.jpg,images/18966061.jpg,,POINT (-6501825.253618741 -4111686.1952161114),2.0,Balvanera,3.0,10,5,13.415032991367148
2776,18745483.0,2026-02-05 01:14:48.177292,,https://www.argenprop.com/departamento-en-alquiler-en-flores-3-ambientes--18745483,760000.0,ARS,30000.0,,55.0,0.0,55.0,40.0,,3.0,1.0,Muy Bueno,,N,0.0,-34.628902,-58.467617,https://www.argenprop.com/static-content/38454781/50e8ca49-fb00-4f12-b82c-4a0f1d2b7a32_u_small.jpg,images/18745483.jpg,,POINT (-6508585.352336144 -4113564.0687617967),12.0,Flores,7.0,40,4,13.541073712262515
2777,18745482.0,2026-02-05 01:14:48.177292,,https://www.argenprop.com/departamento-en-alquiler-en-flores-3-ambientes--18745482,760000.0,ARS,30000.0,,55.0,0.0,55.0,40.0,,3.0,1.0,Muy Bueno,,N,0.0,-34.628902,-58.467617,https://www.argenprop.com/static-content/28454781/f1c3a2b4-e796-479c-a96e-f76719d33787_u_small.jpg,images/18745482.jpg,,POINT (-6508585.352336144 -4113564.0687617967),12.0,Flores,7.0,40,4,13.541073712262515
2820,16852460.0,2026-02-05 01:14:48.320652,,https://www.argenprop.com/departamento-en-alquiler-en-barracas-2-ambientes--16852460,650000.0,ARS,250000.0,Departamento,41.0,4.0,45.0,15.0,,2.0,1.0,Muy Bueno,Frente,NO,0.0,-34.64477,-58.37333,https://www.argenprop.com/static-content/06425861/c097d782-0431-4409-8dc8-e23be1705b44_u_small.jpg,images/16852460.jpg,,POINT (-6498089.371507721 -4115710.981353211),3.0,Barracas,4.0,15,4,13.38472764187182
2828,18526281.0,2026-02-05 01:14:48.352622,,https://www.argenprop.com/departamento-en-alquiler-en-palermo-3-ambientes--18526281,1779828.0,USD,0.0,,55.0,5.0,60.0,5.0,,3.0,1.0,Excelente,Frente,,1.0,-34.567116,-58.432667,https://www.argenprop.com/static-content/18262581/791f00ce-ca4c-45b8-9610-0aa4918be087_u_small.jpg,images/18526281.jpg,,POINT (-6504694.736132921 -4105208.4400956975),20.0,Palermo,14.0,5,5,14.392027288385881
3192,18751736.0,2026-02-05 01:14:49.895235,,https://www.argenprop.com/departamento-en-alquiler-en-barrio-norte-2-ambientes--18751736,650000.0,ARS,249797.0,Departamento,44.0,0.0,44.0,50.0,,2.0,1.0,Muy Bueno,Contrafrente,E,0.0,-34.5854,-58.4059,https://www.argenprop.com/static-content/63715781/2787dbe4-015d-4135-9e04-03f5db2e1bfe_u_small.jpg,images/18751736.jpg,,POINT (-6501715.047322857 -4107680.4291583207),27.0,Recoleta,2.0,50,4,13.38472764187182
3690,18969207.0,2026-02-05 01:14:52.049316,,https://www.argenprop.com/departamento-en-alquiler-en-barrio-norte-4-ambientes--18969207,1580000.0,ARS,360000.0,Departamento,130.0,10.0,140.0,40.0,,4.0,3.0,Excelente,Frente,,0.0,-34.59515,-58.39891,https://www.argenprop.com/static-content/70296981/1ad78196-c4fe-4472-9fb9-a0013f346a7e_u_small.jpg,images/18969207.jpg,,POINT (-6500936.924082211 -4108998.847373279),27.0,Recoleta,2.0,40,5,14.27293540500315
