id,url,precio,expensas,area_m2,dormitorios,antiguedad,puntaje_arg_prop,imagen_path,image_url,lat,lon
18709538,https://www.argenprop.com/departamento-en-alquiler-en-palermo-chico-2-ambientes--18709538,$ 950.000 + $360.000 expensas,$360.000 expensas,55 m² cubie.,1 dorm.,8 años,3895,images/18709538.jpg,https://www.argenprop.com/static-content/83590781/7848fd2b-f41b-45e5-96d6-397569990e20_u_small.jpg,-34.58451,-58.41174
18685169,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-2-ambientes--18685169,$ 600.000 + $140.000 expensas,$140.000 expensas,38 m² cubie.,1 dorm.,30 años,3791,images/18685169.jpg,https://www.argenprop.com/static-content/96158681/5007da72-067a-4287-b431-b14cf4eb4adf_u_small.jpg,-34.597717,-58.384174
18703030,https://www.argenprop.com/departamento-en-alquiler-en-palermo-2-ambientes--18703030,USD 600,,,1 dorm.,,3766,images/18703030.jpg,https://www.argenprop.com/static-content/03030781/5524babe-4023-4313-8e36-52b361baa89d_u_small.jpg,-34.59321,-58.41526
11739496,https://www.argenprop.com/departamento-en-alquiler-en-barrio-norte-1-ambiente--11739496,$ 600.000,,40 m² cubie.,1 dorm.,,3700,images/11739496.jpg,https://www.argenprop.com/static-content/69493711/cd6b808e-6e34-418c-a32c-b4d520560f4c_u_small.jpg,-34.59019,-58.40361
18800435,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-2-ambientes--18800435,$ 600.000 + $160.000 expensas,$160.000 expensas,40 m² cubie.,1 dorm.,,3654,images/18800435.jpg,https://www.argenprop.com/static-content/53400881/d41246bc-0d5a-413c-9dcd-ce27ed42f08e_u_small.jpg,-34.57489,-58.44044
18159571,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-1-ambiente--18159571,$ 400.000 + $231.000 expensas,$231.000 expensas,28 m² cubie.,,,3600,images/18159571.jpg,https://www.argenprop.com/static-content/17595181/9356a68f-0765-4a97-9818-884cac57b993_u_small.jpg,,
18794325,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-c-1-ambiente--18794325,$ 680.000 + $198.000 expensas,$198.000 expensas,36 m² cubie.,,,3533,images/18794325.jpg,https://www.argenprop.com/static-content/52349781/fa0c6895-52f5-474f-b075-7588fa4a9f29_u_small.jpg,-34.57134,-58.448
18795386,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-r-2-ambientes--18795386,$ 600.000 + $220.000 expensas,$220.000 expensas,35 m² cubie.,1 dorm.,30 años,3533,images/18795386.jpg,https://www.argenprop.com/static-content/68359781/c1ff2540-f759-4a23-90b2-d14c3abf64b2_u_small.jpg,-34.56434,-58.4628
17197189,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-1-ambiente--17197189,$ 700.000 + $150.000 expensas,$150.000 expensas,28 m² cubie.,,60 años,3440,images/17197189.jpg,https://www.argenprop.com/static-content/98179171/ecd0eec5-462c-400e-9cc4-7b4a527808bf_u_small.jpg,-34.58931,-58.39097
17755705,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-c-3-ambientes--17755705,$ 1.100.000 + $470.000 expensas,$470.000 expensas,85 m² cubie.,3 dorm.,2 baños,3416,images/17755705.jpg,https://www.argenprop.com/static-content/50755771/5f582ccb-465b-4201-95f8-31387486d5bb_u_small.jpg,-34.56306,-58.46014
18289181,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-2-ambientes--18289181,$ 650.000 + $89.810 expensas,$89.810 expensas,34 m² cubie.,1 dorm.,40 años,3331,images/18289181.jpg,https://www.argenprop.com/static-content/18198281/61e12f9b-613e-4048-ae21-bb975fbd4c98_u_small.jpg,-34.590897,-58.400833
18789220,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-1-ambiente--18789220,$ 570.000 + $199.000 expensas,$199.000 expensas,35,,,3326,images/18789220.jpg,https://www.argenprop.com/static-content/02298781/9aa083aa-0da7-4183-bd77-ff6c27afb0b4_u_small.jpg,-34.59323,-58.40841
17622482,https://www.argenprop.com/departamento-en-alquiler-en-villa-urquiza-2-ambientes--17622482,USD 550 + $120.000 expensas,$120.000 expensas,45 m² cubie.,1 dorm.,10 años,3325,images/17622482.jpg,https://www.argenprop.com/static-content/28422671/babb3c5c-c5c4-4806-a062-96e6975be9eb_u_small.jpg,-34.57482,-58.4827
18794491,https://www.argenprop.com/departamento-en-alquiler-en-urquiza-r-2-ambientes--18794491,$ 600.000 + $130.000 expensas,$130.000 expensas,,1 dorm.,,3224,images/18794491.jpg,https://www.argenprop.com/static-content/19449781/255a920c-b87e-4c21-9fcb-a223f51c90a2_u_small.jpg,-34.57227,-58.48845
